
1,9.2,The Shawshank Redemption (1994),"1,071,904",Frank Darabont
2,9.2,The Godfather (1972),"751,381",Francis Ford Coppola
3,9,The Godfather: Part II (1974),"488,889",Francis Ford Coppola
4,8.9,Pulp Fiction (1994),"830,504",Quentin Tarantino
5,8.9,"The Good, the Bad and the Ugly (1966)","322,961",Sergio Leone
6,8.9,The Dark Knight (2008),"1,045,186",Christopher Nolan
7,8.9,12 Angry Men (1957),"264,112",Sidney Lumet
8,8.9,Schindler's List (1993),"545,703",Steven Spielberg
9,8.8,The Lord of the Rings: The Return of the King (2003),"758,388",Peter Jackson
10,8.8,Fight Club (1999),"814,389",David Fincher
11,8.8,Star Wars: Episode V - The Empire Strikes Back (1980),"519,895",Irvin Kershner
12,8.8,The Lord of the Rings: The Fellowship of the Ring (2001),"784,999",Peter Jackson
13,8.7,One Flew Over the Cuckoo's Nest (1975),"447,005",Miloš Forman
14,8.7,Goodfellas (1990),"465,445",Martin Scorsese
15,8.7,Seven Samurai (1954),"161,969",Akira Kurosawa
16,8.7,Inception (2010),"844,938",Christopher Nolan
17,8.7,Star Wars (1977),"585,132",George Lucas
18,8.7,Forrest Gump (1994),"711,386",Robert Zemeckis
19,8.7,The Matrix (1999),"770,559",Andy Wachowski
20,8.7,The Lord of the Rings: The Two Towers (2002),"680,983",Peter Jackson
21,8.6,City of God (2002),"349,902",Fernando Meirelles
22,8.6,The Silence of the Lambs (1991),"527,492",Jonathan Demme
23,8.6,Se7en (1995),"625,620",David Fincher
24,8.6,Once Upon a Time in the West (1968),"145,769",Sergio Leone
25,8.6,Casablanca (1942),"278,743",Michael Curtiz
26,8.6,The Usual Suspects (1995),"481,594",Bryan Singer
27,8.6,Raiders of the Lost Ark (1981),"439,557",Steven Spielberg
28,8.6,Rear Window (1954),"213,122",Alfred Hitchcock
29,8.6,It's a Wonderful Life (1946),"180,212",Frank Capra
30,8.6,Psycho (1960),"272,065",Alfred Hitchcock
31,8.6,Léon: The Professional (1994),"454,516",Luc Besson
32,8.5,Sunset Blvd. (1950),"95,571",Billy Wilder
33,8.5,American History X (1998),"495,932",Tony Kaye
34,8.5,Apocalypse Now (1979),"309,699",Francis Ford Coppola
35,8.5,Terminator 2: Judgment Day (1991),"479,572",James Cameron
36,8.5,Memento (2000),"557,394",Christopher Nolan
37,8.5,Saving Private Ryan (1998),"546,922",Steven Spielberg
38,8.5,City Lights (1931),"62,840",Charlie Chaplin
39,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"249,013",Stanley Kubrick
40,8.5,Alien (1979),"360,007",Ridley Scott
41,8.5,Modern Times (1936),"80,077",Charlie Chaplin
42,8.5,Spirited Away (2001),"244,430",Hayao Miyazaki
43,8.5,Gravity (2013),"33,721",Alfonso Cuaron
44,8.5,North by Northwest (1959),"155,574",Alfred Hitchcock
45,8.5,Back to the Future (1985),"433,401",Robert Zemeckis
46,8.4,Citizen Kane (1941),"216,576",Orson Welles
47,8.4,The Pianist (2002),"297,265",Roman Polanski
48,8.4,M (1931),"68,920",Fritz Lang
